ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2024-02-08,53,29382,565,Employed,Bachelor,32,23437,36,Married,0,Own,290,0.34468811534673693,0,1,0.2619361616222924,0,Auto,0,26,6,1869,1599,13144,30266,2448.5,0.904889428310245,6,7947,0.22593699999999997,0.24665508645940212,927.709853261541,0.4973289169947074,0,56.0
2024-02-09,49,17840,645,Employed,Bachelor,27,20741,72,Divorced,5,Other,379,0.17206095690950618,5,0,0.3688170577460537,0,Home,0,29,24,700,405,48464,18422,1486.6666666666667,0.8761743301663446,4,30042,0.213241,0.2555275351928789,565.7594974362664,0.6354884511903137,0,52.0
2024-02-10,51,36734,588,Employed,Master,27,45592,96,Married,3,Mortgage,334,0.034324344126230845,3,1,0.025717230235864832,0,Debt Consolidation,0,24,7,800,587,72162,49017,3061.1666666666665,0.965403459144968,9,23145,0.286592,0.3301175257996013,1354.2857555280043,0.5515170976843266,0,51.0
2024-02-11,31,59430,582,Self-Employed,Bachelor,9,22077,72,Married,1,Mortgage,364,0.134246273149227,3,1,0.45610084472380036,0,Debt Consolidation,0,26,27,1161,4153,70721,297450,4952.5,0.7803562125916523,6,4712,0.246077,0.26107654220564164,609.7849060030561,0.1966249179208594,0,58.0
2024-02-12,37,94273,495,Employed,Bachelor,17,22477,12,Single,2,Mortgage,636,0.35254953487340474,1,0,0.4714177048763062,0,Other,0,15,9,2642,401,103915,5497,7856.083333333333,0.9364638290191893,9,98418,0.239977,0.24725235830332037,2133.3127084509097,0.35250551591029156,1,43.2
2024-02-13,28,40950,614,Employed,Bachelor,5,22507,60,Married,0,Rent,727,0.4557052654222477,3,2,0.24115457701532697,0,Other,0,21,9,8818,356,459846,4691,3412.5,0.8086020045174936,4,455155,0.220507,0.2271193807481789,630.7635111072981,0.39787941717429987,0,46.0
2024-02-14,37,25392,575,Employed,High School,14,22736,60,Married,1,Rent,284,0.5097266352489964,4,1,0.6472556389037827,0,Education,0,22,23,5581,508,139730,28418,2116.0,0.8245938738844125,7,111312,0.240236,0.25056245473294136,668.081609432941,0.4499440498265317,0,57.0
2024-02-15,48,43491,483,Employed,Bachelor,23,21721,60,Married,1,Mortgage,703,0.5033131829932812,1,0,0.1050323862895872,0,Debt Consolidation,0,18,9,2841,330,34499,13962,3624.25,0.8667154008995739,8,20537,0.285221,0.2553502872115402,644.3712361879396,0.3717655338864426,0,53.0
2024-02-16,41,45235,605,Employed,Bachelor,16,7837,48,Married,2,Own,654,0.3083447897906826,5,2,0.21745503826656898,0,Home,0,20,24,7120,291,95806,70128,3769.5833333333335,0.8136803789066223,10,25678,0.20033700000000002,0.22152770590019336,247.56357818390288,0.23916796591592426,0,50.0
2024-02-17,55,25233,594,Employed,Associate,33,11419,84,Married,1,Mortgage,698,0.09498818258954995,5,1,0.2897522112185792,0,Auto,0,20,5,11783,13478,25261,16290,2102.75,0.32939093419723503,5,8971,0.23941900000000002,0.24415463943756086,284.779677917597,0.4673782798324085,0,55.0
2024-02-18,26,74071,582,Employed,Doctorate,5,45588,60,Married,0,Rent,420,0.3989237481529187,2,0,0.19558441311274904,0,Debt Consolidation,0,21,19,5146,2189,48894,40156,6172.583333333333,0.6813679912477637,3,8738,0.259588,0.24738034643964968,1331.0757477592513,0.2836860441078292,0,50.0
2024-02-19,46,38640,479,Employed,Associate,24,34726,96,Single,1,Own,613,0.30304135430732904,5,2,0.36229287618912487,0,Auto,0,23,19,414,1987,37876,69024,3220.0,0.7258472401722313,9,10201,0.330226,0.371545874445375,1136.0170085775408,0.5431729840302921,0,55.0
2024-02-20,25,27092,556,Employed,High School,4,30850,48,Married,0,Own,653,0.3498159677312751,0,0,0.10167330738260642,0,Debt Consolidation,0,31,16,1471,609,31903,12079,2257.6666666666665,0.9087088950262228,6,19824,0.24785,0.25032039745079226,1023.4487704841447,0.7425581443160245,0,52.0
2024-02-21,41,33739,549,Employed,Associate,17,18484,36,Single,2,Rent,664,0.4238031369819985,4,1,0.661587839368994,0,Debt Consolidation,0,28,17,2244,743,74786,29103,2811.5833333333335,0.6067046799957919,7,45683,0.228984,0.22812503030197617,713.7054183222123,0.4900105225367244,0,60.0
2024-02-22,48,204015,611,Employed,High School,23,24178,120,Married,0,Own,696,0.46609527320757077,3,1,0.15377568475928668,0,Auto,0,21,12,6731,997,177234,15029,17001.25,0.9064474394868969,4,162205,0.273678,0.30206550753417266,641.0671938584095,0.07864522866603395,1,33.6
2024-02-23,37,74235,491,Employed,Associate,12,25038,24,Married,0,Mortgage,597,0.1708347267327513,0,1,0.14959561410753403,0,Auto,0,19,16,2290,438,65437,39168,6186.25,0.7925300918288112,9,26269,0.254538,0.24425571347935385,1329.1107258365814,0.3113535220588533,0,49.0
2024-02-24,46,36907,575,Employed,High School,24,26764,60,Married,2,Own,784,0.19928363381470493,1,0,0.40600354797947685,0,Debt Consolidation,0,31,13,1450,320,60628,80844,3075.5833333333335,0.9548643370730732,4,10277,0.24426400000000004,0.2148008102211128,731.3026569494965,0.4926878880264978,0,56.0
2024-02-25,28,15000,439,Employed,Associate,7,18273,60,Married,3,Own,491,0.13564445173216425,1,1,0.11269005249703742,0,Home,0,17,19,4183,1421,15792,49217,1250.0,0.8075471470086361,7,7315,0.30377299999999996,0.32788554582153545,622.8701191356073,0.8910960953084858,0,51.0
2024-02-26,20,15000,526,Self-Employed,Bachelor,0,14731,48,Single,0,Own,419,0.19874631085154623,5,1,0.1405806376816889,0,Debt Consolidation,0,17,23,563,319,50776,13416,1250.0,0.87657688492452,5,37360,0.246731,0.23710521441622337,477.9032234258878,0.7175225787407102,0,54.0
2024-02-27,46,45179,604,Employed,High School,27,30143,60,Divorced,0,Own,341,0.46622261377346264,3,4,0.15911445674772554,0,Other,0,27,21,1469,654,257695,6374,3764.9166666666665,0.9758949787060364,4,251321,0.233143,0.25685733089852497,896.8959544464885,0.32879770365342004,0,43.0
2024-02-28,60,52368,576,Employed,Bachelor,40,12376,72,Single,0,Other,340,0.20318572607584695,2,1,0.2339322159968634,0,Education,0,19,13,5368,441,23737,2746,4364.0,0.8383385140946064,4,20991,0.239376,0.25150506721334986,334.5183888676617,0.15456425042797015,0,52.0
2024-03-01,28,20430,563,Employed,High School,6,16828,36,Widowed,1,Mortgage,440,0.32185867604691126,5,1,0.25256773286105777,0,Education,0,32,13,4541,269,110768,13178,1702.5,0.8668992706849246,6,97590,0.220328,0.23093687669321775,652.2291958673591,0.6415443147532212,0,52.0
2024-03-02,54,55278,542,Employed,Master,31,29971,48,Married,0,Rent,395,0.30352880529577886,2,1,0.24322596612498174,0,Home,0,20,23,1174,3986,24341,357065,4606.5,0.8435589726246573,0,9024,0.253971,0.22258562568498197,948.4807741775011,0.29164892525290376,0,52.0
2024-03-03,40,34580,618,Employed,Master,17,23166,72,Married,0,Mortgage,263,0.11345182614049987,4,3,0.3815214119040896,0,Auto,1,27,1,8769,1491,49315,15879,2881.6666666666665,0.6396053266729828,6,33436,0.229166,0.21962672339073655,581.5586939158331,0.29307994005176397,0,61.0
2024-03-04,23,26640,568,Employed,Associate,2,13809,48,Married,2,Rent,407,0.16785535745028082,4,1,0.5211122173937417,0,Auto,0,25,19,2640,340,162533,38205,2220.0,0.6600042519630356,6,124328,0.22480899999999998,0.2067112784718302,425.1664022168514,0.3748497307283114,0,55.0
2024-03-05,26,42382,549,Employed,Bachelor,4,11881,36,Divorced,3,Own,474,0.16731183483566842,3,1,0.314535813836293,0,Education,0,33,25,5449,561,75711,71567,3531.8333333333335,0.6847797410455737,11,4144,0.222381,0.21563553046584455,451.06259236543804,0.26192136068107347,1,43.2
2024-03-06,40,27960,596,Employed,Bachelor,18,29697,36,Married,0,Mortgage,586,0.2810633274796228,2,1,0.13473137700581655,0,Debt Consolidation,0,23,11,46256,2042,48298,3399,2330.0,0.8529987161735099,3,44899,0.216697,0.24208031702931412,1168.3442420176325,0.7529374429260225,0,52.0
2024-03-07,35,20872,574,Employed,Associate,13,18642,36,Married,2,Own,389,0.053013698230461564,2,0,0.1401105086530662,0,Home,0,17,24,4242,1565,21868,40288,1739.3333333333333,0.831816865581217,4,4804,0.216642,0.23974285088979952,731.1271620303476,0.6439979850691918,0,51.0
2024-03-08,24,15118,535,Employed,High School,0,10951,60,Single,3,Rent,180,0.3057360660051289,3,1,0.3155014363959009,0,Debt Consolidation,0,24,21,276,385,71826,13151,1259.8333333333333,0.7591880118837572,2,58675,0.24845099999999998,0.2686506046766217,333.50971519291284,0.40760130852724924,0,54.0
2024-03-09,19,33990,594,Employed,Bachelor,0,15273,96,Single,0,Other,93,0.03593278189517707,3,1,0.09220886274883448,0,Debt Consolidation,0,17,16,4125,4144,52253,77009,2832.5,0.5026204207859921,3,9217,0.253273,0.26094452301886806,380.3427524155949,0.16711129829323737,0,50.0
2024-03-10,29,19386,608,Employed,Associate,9,37832,36,Married,0,Own,1355,0.3002190283416238,2,2,0.12839421011667645,0,Auto,0,24,16,4305,356,18104,76740,1615.5,0.74129013021045,3,5135,0.218832,0.24583173288028115,1495.866069975836,1.7646958031419595,0,49.0
2024-03-11,42,253770,669,Employed,Master,20,25831,48,Widowed,0,Rent,1011,0.2813298520440273,2,3,0.14968398601793648,0,Other,0,28,25,9429,1043,87684,13108,21147.5,0.6219635193629857,8,74576,0.186331,0.2235972,818.886403500362,0.0865296797966834,1,32.0
2024-03-12,39,103432,652,Employed,Doctorate,19,32871,72,Single,0,Rent,536,0.2476151336297985,3,3,0.10553735796824829,0,Debt Consolidation,0,16,6,2847,6841,137163,13058,8619.333333333334,0.9317051004120694,4,124105,0.22187099999999998,0.20323517572719263,793.5297277469775,0.15424971704079715,1,32.800000000000004
2024-03-13,33,72151,531,Employed,High School,14,25461,36,Married,0,Own,260,0.2652913099184472,3,0,0.32662833746510317,1,Debt Consolidation,0,27,6,2740,967,16900,8104,6012.583333333333,0.7514545125953981,5,8796,0.244961,0.2354102939655504,992.7822510164317,0.20836006447862374,0,68.0
2024-03-14,42,35223,623,Self-Employed,Bachelor,22,64484,36,Married,1,Rent,362,0.3223263898196983,2,2,0.14568451648679245,0,Debt Consolidation,0,24,16,2296,738,75228,11287,2935.25,0.8176284717527601,1,63941,0.237984,0.20109864083398998,2400.067764622744,0.9409991532655632,0,49.0
2024-03-15,52,36846,578,Employed,Bachelor,30,20321,36,Single,2,Rent,474,0.0863777331897343,3,1,0.4900309193472784,0,Education,0,25,3,9985,2829,52160,98216,3070.5,0.8188182176449069,8,8295,0.216321,0.21731825731000973,773.251809627555,0.4062047906293942,0,59.0
2024-03-16,44,19918,544,Employed,Master,20,29937,60,Single,0,Mortgage,704,0.47277145766512213,5,1,0.10844832611121732,0,Auto,0,21,24,1076,1722,105369,47982,1659.8333333333333,0.9846917838795785,3,57387,0.262937,0.2776400503163808,927.8555062696388,0.9831441949611238,0,51.0
2024-03-17,38,128443,585,Self-Employed,Bachelor,14,15320,60,Married,0,Own,494,0.19539345296966087,1,0,0.21394526711754244,0,Education,0,21,4,3094,299,35678,86132,10703.583333333334,0.7111540845418209,1,1315,0.22782000000000002,0.19650059816922183,402.90907926485374,0.08379521617509902,1,44.0
2024-03-18,51,115788,620,Employed,Bachelor,25,15040,60,Single,4,Rent,704,0.08019901846886754,6,1,0.15785538429839666,0,Auto,0,22,7,1710,295,28551,7509,9649.0,0.7154227802976999,7,21042,0.21004,0.23787523348252704,430.8173208798145,0.11760983738002015,1,36.800000000000004
2024-03-19,28,65073,598,Employed,Bachelor,5,25136,24,Married,4,Rent,221,0.22731156364195879,3,1,0.05677742327159011,0,Home,0,15,1,2495,578,50006,3076,5422.75,0.7629036696915451,7,46930,0.20113599999999998,0.20953721733615588,1291.0584317803825,0.2788360945609483,0,54.0
2024-03-20,37,38482,606,Employed,Associate,14,36379,72,Married,1,Rent,477,0.2666988199420431,6,0,0.2971477245157786,0,Auto,0,25,15,8998,371,61598,120403,3206.8333333333335,0.8550435188732356,4,7628,0.248379,0.21259860656306806,898.1496083839018,0.4288185463491196,0,50.0
2024-03-21,37,48894,604,Employed,Doctorate,15,28363,60,Married,4,Own,247,0.26115296548616557,6,1,0.5161974470066901,0,Debt Consolidation,0,22,4,2084,357,23187,145540,4074.5,0.692913406273808,9,4965,0.23136299999999999,0.23790723684413406,812.5041486240584,0.26003292394749256,0,59.0
2024-03-22,25,53771,546,Employed,High School,3,45139,48,Married,3,Rent,445,0.5952440884329715,5,0,0.12202281519611718,0,Debt Consolidation,0,29,21,1803,223,65107,35182,4480.916666666667,0.8334918205377089,8,29925,0.26713899999999996,0.306194280188277,1641.576937673982,0.46565850090360567,0,51.0
2024-03-23,34,119501,530,Employed,High School,7,18443,24,Single,1,Mortgage,403,0.6224366739822247,4,3,0.6095212168205085,0,Debt Consolidation,0,16,16,5405,608,75543,6828,9958.416666666666,0.811536748377383,5,68715,0.22844299999999998,0.2085143697828131,946.3603010803682,0.13549948212119078,1,45.6
2024-03-24,18,55183,599,Employed,Associate,0,9697,24,Married,2,Mortgage,472,0.3932657365294708,3,2,0.2919302852330573,0,Home,0,22,9,5888,3341,34543,9313,4598.583333333333,0.558200216432406,5,25230,0.185197,0.14927733351224004,469.8421484360415,0.20481136910339232,1,42.400000000000006
2024-03-25,62,24203,630,Employed,High School,39,26225,24,Married,2,Rent,316,0.42772807733299795,4,2,0.26006876880578306,0,Other,1,27,3,1640,2623,74405,8715,2016.9166666666667,0.9334860178077189,4,65690,0.186225,0.17644987547934848,1304.7655180873398,0.8035857627999867,0,59.0
2024-03-26,28,30271,602,Employed,Bachelor,8,14630,48,Married,2,Own,492,0.5388543461858921,1,1,0.09333020864456938,0,Debt Consolidation,0,18,24,1677,2715,306051,4814,2522.5833333333335,0.9184122628438228,5,301237,0.20863,0.22180559310026948,462.369215100499,0.3783301040998311,0,43.0
2024-03-27,59,56976,545,Employed,High School,36,14319,60,Married,0,Other,776,0.4436136191770633,3,1,0.25246573386257615,0,Education,0,19,8,2471,619,109079,26284,4748.0,0.8700887868275695,6,82795,0.246819,0.264873889903107,432.8588993425165,0.25460381199294785,0,52.0
2024-03-28,40,32758,568,Employed,Associate,16,33335,60,Single,4,Rent,387,0.14195869665801011,3,1,0.162600126092297,0,Other,0,22,17,525,194,14322,14195,2729.8333333333335,0.6651567466187706,5,8844,0.254335,0.27312014564558434,1024.1208355961598,0.5169256373146687,0,50.0
2024-03-29,46,31940,539,Employed,High School,21,19322,60,Divorced,3,Other,189,0.3013729439684678,0,0,0.499303774478058,0,Other,0,28,16,9403,3610,46293,33235,2661.6666666666665,0.739445257990948,6,13058,0.254822,0.26906140591287064,588.9201381709149,0.29226805441612336,0,57.0
2024-03-30,34,98086,422,Employed,High School,10,25483,36,Single,3,Mortgage,380,0.28245192758293997,2,0,0.30805932076220394,0,Other,0,26,29,3706,2499,25254,47436,8173.833333333333,0.9143765989593748,6,2730,0.29948299999999994,0.2977998477108183,1078.7249483888718,0.1784627712483582,1,42.400000000000006
2024-03-31,42,40242,507,Employed,Associate,20,67820,60,Single,3,Own,697,0.7677779059607764,2,0,0.08404614121755241,0,Home,0,23,1,1582,1877,90746,53496,3353.5,0.8572556337927619,7,37250,0.31932,0.35895417968394266,2445.96344218614,0.9372188585615447,0,57.0
2024-04-01,47,22589,651,Employed,Master,25,19606,48,Single,4,Mortgage,264,0.14413444254263572,3,2,0.5406835740783303,0,Debt Consolidation,0,25,26,4708,2200,40490,20603,1882.4166666666667,0.9180586476184202,7,19887,0.18910600000000002,0.19314513290325153,589.4805884572759,0.45339621326695784,0,53.0
2024-04-02,47,485341,620,Employed,Bachelor,25,35042,48,Widowed,2,Own,270,0.7185313862738684,6,0,0.16809667670220219,0,Auto,0,18,26,3588,659,86133,85134,24935.833333333332,0.7690736827440944,4,4581,0.22004200000000002,0.2345567199071866,1131.9141768638335,0.05622086730062495,1,37.6
2024-04-03,49,108574,593,Employed,High School,26,24202,84,Single,0,Other,809,0.2540159761674032,3,0,0.13418081360553313,0,Auto,0,25,11,799,936,459554,26395,9047.833333333334,0.6804328756757642,9,433159,0.252702,0.23325058598298445,586.9161790281441,0.15428181837583332,1,34.4
2024-04-04,35,42660,622,Employed,Associate,10,41262,60,Single,3,Mortgage,195,0.44807751962614356,4,0,0.08118512375711745,0,Auto,0,26,2,543,982,50819,49764,3555.0,0.6285037835067874,6,1055,0.23526200000000003,0.24789288077262206,1206.0023990042073,0.3940935018295942,0,53.0
2024-04-05,34,88256,517,Employed,Master,9,23107,24,Married,1,Own,660,0.4479183935512674,1,1,0.20896590794749675,1,Education,0,21,8,8746,1523,50076,59573,4475.5,0.8645126292353621,5,4842,0.239607,0.2335880690373513,1214.3101378794977,0.41879346170919396,0,65.0
2024-04-06,20,15000,589,Employed,Associate,0,27294,24,Divorced,0,Rent,1068,0.38037749973731705,5,1,0.22754003540689677,0,Other,0,22,13,2507,1117,43132,31443,1250.0,0.9061075836790872,5,11689,0.207794,0.1948537654470315,1382.2978760527149,1.960238300842172,0,54.0
2024-04-07,46,39863,543,Employed,Associate,19,11779,48,Married,0,Rent,501,0.7193829735397204,1,0,0.7396987313121567,0,Education,0,23,17,13286,5345,20740,4630,3321.9166666666665,0.6126847599613802,4,16110,0.23527900000000002,0.2595029529717711,396.826837623965,0.2702737388427259,0,61.0
2024-04-08,52,40606,609,Employed,Master,34,27663,72,Married,1,Mortgage,298,0.2172415925621329,2,0,0.3876439144086905,0,Auto,0,27,19,396,609,108657,18189,3383.8333333333335,0.8469302598984707,6,90468,0.23816299999999999,0.2123776385447163,682.60337911528,0.2897906848589706,0,50.0
2024-04-09,59,54072,601,Employed,High School,37,8439,36,Single,0,Rent,362,0.35393063148584647,4,1,0.19021812841456393,0,Debt Consolidation,1,27,18,13769,199,55526,97020,4506.0,0.416291885775848,9,9526,0.192939,0.22358109445727817,323.8547507275047,0.15220922120006763,0,53.0
2024-04-10,43,146707,452,Employed,Bachelor,21,44751,36,Divorced,2,Other,342,0.3561439694333149,1,2,0.1621569863950516,0,Home,0,31,3,946,1064,96469,39146,12225.583333333334,0.9061363265553656,5,57323,0.303751,0.30987817119654293,1924.0437146799154,0.18535260468933987,1,39.2
2024-04-11,30,56096,487,Employed,High School,9,20037,36,Married,3,Rent,179,0.4394135829573018,3,0,0.08555668318940379,0,Other,0,27,21,899,361,60306,31634,4674.666666666667,0.7048972625052017,6,28672,0.261537,0.2967892623190528,847.0824025892692,0.21949851738218823,0,51.0
2024-04-12,19,170787,604,Employed,Master,0,11486,60,Divorced,1,Other,371,0.2900695783183512,1,0,0.5200881216678162,0,Home,0,20,22,2623,1431,23470,35682,14232.25,0.8692739979005621,5,10775,0.214486,0.2031267467470148,306.3104937867879,0.047589839539551926,1,42.400000000000006
2024-04-13,52,20851,579,Employed,High School,33,55710,60,Single,2,Other,453,0.1975800563411717,4,0,0.42558816314353254,0,Auto,1,24,21,97299,631,97930,58185,1737.5833333333333,0.8154215463358732,4,39745,0.27121,0.2566213394378582,1656.8585240681418,1.214248826858074,0,63.0
2024-04-14,18,20165,615,Employed,Doctorate,0,32710,36,Single,0,Rent,188,0.3057782093333603,5,0,0.1541057529450773,0,Home,0,28,27,932,295,81955,30516,1680.4166666666667,0.9840059113296665,8,51439,0.21020999999999998,0.24372139530701856,1289.7066414825729,0.8793691890796367,0,47.0
2024-04-15,35,90579,585,Employed,Bachelor,11,12324,12,Single,3,Mortgage,884,0.23836246163251681,1,0,0.5762249330676449,0,Debt Consolidation,0,22,7,4649,1483,81705,48267,7548.25,0.4579769425280429,2,33438,0.18482400000000002,0.1954769995864837,1138.9615648144068,0.2680040492583588,1,46.400000000000006
2024-04-16,37,42915,545,Employed,High School,13,23148,36,Single,0,Rent,202,0.21111313330646592,5,1,0.2696514368277895,0,Auto,0,21,5,1947,803,11979,16200,3576.25,0.8880030654031388,8,5895,0.235648,0.22102644290568446,885.2622657034855,0.30402300334246357,0,55.0
2024-04-17,39,68799,496,Employed,Bachelor,18,7067,60,Married,1,Mortgage,367,0.08618238459098215,3,0,0.48312850289508613,0,Home,0,28,20,6448,497,226318,19046,5733.25,0.79619180397399,4,207272,0.264067,0.27654636406511746,218.56676301063692,0.10213522225799275,1,40.800000000000004
2024-04-18,40,59333,563,Employed,Master,17,23722,60,Married,1,Other,686,0.2644545947891471,5,0,0.1304069643984251,0,Home,0,28,3,1689,1233,190629,8905,4944.416666666667,0.7758699436393511,5,181724,0.247222,0.2966664,762.6370151654344,0.29298441309195916,0,49.0
2024-04-19,41,36144,531,Employed,High School,16,14315,60,Married,0,Rent,255,0.10443571962620644,5,2,0.5181239819368054,0,Other,0,31,6,5366,411,239645,79764,3012.0,0.8013365244486298,3,159881,0.253815,0.2459671395179108,416.78641729917035,0.22303665912987064,0,56.0
2024-04-20,18,73538,573,Employed,Master,0,40563,12,Married,0,Other,698,0.045873146888721815,3,1,0.13664456425552152,0,Education,0,23,15,6823,1381,28231,12931,6128.166666666667,0.6205043189374797,3,15300,0.219063,0.20998829830059668,3776.95122465783,0.7302267493798303,0,49.0
2024-04-21,40,50617,595,Employed,Associate,18,21128,84,Single,1,Other,251,0.23571093249186412,1,2,0.24383585914785458,0,Auto,0,21,15,1088,2308,43704,3508,4218.083333333333,0.7339700057223285,0,40196,0.24862800000000002,0.2412858487651905,523.0694654521528,0.18351213199964111,0,52.0
2024-04-22,18,27777,574,Employed,High School,0,46288,36,Single,1,Mortgage,590,0.014634471557756726,6,1,0.2628395117987854,0,Auto,0,19,18,10288,468,21464,6743,2314.75,0.846654270711542,3,14721,0.244288,0.22477200125608873,1779.2072669420925,1.0235261980525294,0,53.0
2024-04-23,48,208157,577,Employed,High School,25,20494,96,Married,0,Mortgage,629,0.223682077233502,5,1,0.29568314625233816,0,Education,0,26,14,22358,8578,212807,8525,17346.416666666668,0.8213870440538791,6,204282,0.266994,0.26860883680353737,520.9465250924693,0.06629303026614349,1,36.800000000000004
2024-04-24,33,54193,586,Employed,Master,9,23593,60,Married,0,Mortgage,435,0.23184276344723073,6,2,0.29017196393200406,0,Education,0,26,8,14877,932,156867,18618,4516.083333333333,0.7056559462637572,4,138249,0.235593,0.2607383223353256,707.417103238995,0.25296634692428804,0,49.0
2024-04-25,18,51578,477,Employed,Doctorate,0,27362,24,Married,1,Own,344,0.3429723062949465,8,1,0.23520829152903938,0,Auto,0,28,2,3773,2932,49923,1982,4298.166666666667,0.8945244567617318,4,47941,0.263862,0.2228628513059376,1423.3613615057502,0.41118958350593277,0,56.0
