trustLevel,totalScanTimeInSeconds,grandTotal,lineItemVoids,scansWithoutRegistration,quantityModifications,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition,fraud
3,1170,19.81,4,10,2,0.0256410256410256,0.0169316239316239,0.133333333333333,0
4,15,45.41,1,5,0,2,3.02733333333333,0.0333333333333333,0
2,573,27.9,11,6,3,0.0209424083769634,0.0486910994764398,0.916666666666667,0
1,970,6.14,3,3,1,0.0103092783505155,0.0063298969072165,0.3,0
5,905,78.06,1,1,0,0.0110497237569061,0.0862541436464088,0.1,0
3,108,56.45,10,5,2,0.175925925925926,0.522685185185185,0.526315789473684,0
6,335,91.16,10,7,1,0.00597014925373134,0.272119402985075,5,0
2,67,71.46,11,6,2,0.0895522388059701,1.0665671641791,1.83333333333333,0
6,1206,91.77,3,4,0,0.00248756218905473,0.0760945273631841,1,0
5,171,50.12,4,3,0,0.0818713450292398,0.293099415204678,0.285714285714286,0
2,1743,99.28,11,9,3,0.014916810097533,0.0569592656339644,0.423076923076923,1
5,236,96.43,7,10,4,0.0635593220338983,0.408601694915254,0.466666666666667,0
3,1268,73.31,7,6,4,0.0141955835962145,0.0578154574132492,0.388888888888889,0
4,1415,42.2,9,5,4,0.00282685512367491,0.0298233215547703,2.25,0
5,391,56.9,4,9,4,0.0690537084398977,0.145524296675192,0.148148148148148,0
5,765,53.32,6,10,0,0.0235294117647059,0.0696993464052288,0.333333333333333,0
4,704,77.63,0,2,2,0.00710227272727273,0.110269886363636,0,0
3,1358,80.39,6,1,3,0.00515463917525773,0.0591973490427099,0.857142857142857,0
1,44,19.69,1,4,4,0.318181818181818,0.4475,0.0714285714285714,0
5,1340,23.53,5,7,2,0.0156716417910448,0.0175597014925373,0.238095238095238,0
2,810,22.5,9,7,3,0.0135802469135802,0.0277777777777778,0.818181818181818,0
1,1602,30.86,3,9,4,0.0124843945068664,0.0192634207240949,0.15,1
1,871,89.92,2,5,5,0.00229621125143513,0.103237657864524,1,0
4,1160,98.4,9,2,4,0.0172413793103448,0.0848275862068966,0.45,0
2,144,75.04,9,9,0,0.159722222222222,0.521111111111111,0.391304347826087,0
6,1803,86.5,0,7,5,0.00554631170271769,0.047975596228508,0,0
1,1582,51.93,5,0,2,0.0176991150442478,0.0328255372945638,0.178571428571429,1
2,320,7.02,8,4,4,0.04375,0.0219375,0.571428571428571,0
3,492,43.66,10,6,4,0.0528455284552846,0.088739837398374,0.384615384615385,0
4,29,84.08,1,0,4,0.724137931034483,2.89931034482759,0.0476190476190476,0
1,880,78.36,9,9,3,0.0272727272727273,0.0890454545454545,0.375,1
4,1734,17.43,0,0,2,0.0121107266435986,0.0100519031141869,0,0
5,1821,0.99,0,3,2,0.00823723228995058,0.000543657331136738,0,0
6,1470,6.96,5,1,1,0.0149659863945578,0.00473469387755102,0.227272727272727,0
6,1300,19.11,1,0,1,0.0153846153846154,0.0147,0.05,0
3,1557,82.33,3,7,4,0.00321130378933847,0.0528773281952473,0.6,0
5,550,76.36,11,1,3,0.0363636363636364,0.138836363636364,0.55,0
3,1505,64.78,2,0,0,0.0179401993355482,0.0430431893687708,0.0740740740740741,0
4,168,62.96,1,9,3,0.166666666666667,0.374761904761905,0.0357142857142857,0
1,400,48.95,11,9,1,0.0225,0.122375,1.22222222222222,0
2,237,98.15,10,4,2,0.0590717299578059,0.414135021097046,0.714285714285714,0
6,1411,55.87,2,5,4,0.0205527994330262,0.0395960311835578,0.0689655172413793,0
6,165,8.63,5,5,1,0.121212121212121,0.0523030303030303,0.25,0
3,1157,59.42,9,5,2,0.0259291270527226,0.0513569576490925,0.3,0
5,1054,98.45,8,2,4,0.0199240986717268,0.0934060721062619,0.380952380952381,0
6,934,15.69,9,10,2,0.0203426124197002,0.0167987152034261,0.473684210526316,0
3,803,74.57,8,4,3,0.0049813200498132,0.0928642590286426,2,0
2,1071,86.49,11,4,3,0.0186741363211951,0.0807563025210084,0.55,0
6,1055,74.87,10,3,0,0.0180094786729858,0.0709668246445498,0.526315789473684,0
5,1122,1.79,6,5,1,0.0160427807486631,0.00159536541889483,0.333333333333333,0
2,546,56.21,8,4,5,0.0183150183150183,0.102948717948718,0.8,0
6,775,38.3,2,3,2,0.00258064516129032,0.0494193548387097,1,0
3,298,99.73,2,7,3,0.087248322147651,0.334664429530201,0.0769230769230769,0
3,1176,21.93,3,10,4,0.00425170068027211,0.0186479591836735,0.6,0
1,474,65.46,3,10,5,0.0464135021097046,0.138101265822785,0.136363636363636,0
1,966,47.98,10,4,1,0.0082815734989648,0.0496687370600414,1.25,0
1,1286,35.54,5,6,2,0.00388802488335925,0.0276360808709176,1,0
4,791,78.7,1,6,3,0.0303413400758533,0.0994943109987358,0.0416666666666667,0
3,62,63.44,1,7,3,0.0483870967741935,1.02322580645161,0.333333333333333,0
5,636,37.74,2,9,1,0.0345911949685535,0.0593396226415094,0.0909090909090909,0
2,1261,89.41,7,0,0,0.0229976209357653,0.070904044409199,0.241379310344828,0
3,944,87.48,3,4,4,0.0127118644067797,0.0926694915254237,0.25,0
5,589,74.19,10,2,0,0.0033955857385399,0.125959252971138,5,0
1,1246,62.61,1,9,4,0.014446227929374,0.0502487961476726,0.0555555555555556,0
3,851,93.75,2,8,3,0.0082256169212691,0.110164512338425,0.285714285714286,0
2,183,83.31,0,10,1,0.0601092896174863,0.455245901639344,0,0
2,1502,80.34,10,5,5,0.0066577896138482,0.0534886817576565,1,0
4,483,30.2,9,2,0,0.0020703933747412,0.0625258799171843,9,0
5,231,91.23,10,2,2,0.0822510822510823,0.394935064935065,0.526315789473684,0
2,1191,39,9,7,4,0.00923593618807725,0.0327455919395466,0.818181818181818,0
2,1668,50.47,1,5,0,0.0113908872901679,0.030257793764988,0.0526315789473684,0
1,1004,56.55,11,2,3,0.00597609561752988,0.0563247011952191,1.83333333333333,0
6,369,66.24,11,8,3,0.046070460704607,0.179512195121951,0.647058823529412,0
1,1672,54.3,6,0,3,0.0041866028708134,0.0324760765550239,0.857142857142857,0
1,1783,94.84,3,0,4,0.0151430173864274,0.0531912507010656,0.111111111111111,1
6,1315,98.59,3,7,3,0.00228136882129278,0.0749733840304183,1,0
2,452,81.76,0,10,3,0.0398230088495575,0.180884955752212,0,0
3,100,0.45,2,0,1,0.16,0.0045,0.125,0
6,1079,76.13,10,2,4,0.0213160333642261,0.0705560704355885,0.434782608695652,0
5,1193,43.56,3,2,3,0.0142497904442582,0.0365129924559933,0.176470588235294,0
5,1169,35.52,6,1,4,0.0248075278015398,0.0303849443969204,0.206896551724138,0
2,716,34.24,2,8,4,0.0251396648044693,0.0478212290502793,0.111111111111111,0
3,1597,11.64,10,2,4,0.00626174076393237,0.00728866624921728,1,0
2,820,75.59,5,1,0,0.00365853658536585,0.0921829268292683,1.66666666666667,0
5,1677,88.07,5,7,5,0.0172927847346452,0.0525163983303518,0.172413793103448,0
1,181,25.95,1,7,1,0.00552486187845304,0.143370165745856,1,0
5,287,40.34,1,8,0,0.0836236933797909,0.140557491289199,0.0416666666666667,0
3,877,67.37,7,3,1,0.0296465222348917,0.0768187001140251,0.269230769230769,0
2,1803,14.37,11,0,5,0.0155296727676095,0.00797004991680532,0.392857142857143,1
6,1692,54.07,0,2,0,0.00886524822695036,0.0319562647754137,0,0
3,152,11.51,8,9,4,0.151315789473684,0.0757236842105263,0.347826086956522,0
5,867,74,0,2,4,0.00807381776239908,0.0853517877739331,0,0
2,1819,60.15,0,7,3,0.0164925783397471,0.033067619571193,0,1
6,1269,81.52,3,8,4,0.0118203309692671,0.0642395587076438,0.2,0
2,1134,26.29,5,6,5,0.0246913580246914,0.0231834215167548,0.178571428571429,0
2,240,44.13,3,9,1,0.00833333333333333,0.183875,1.5,0
2,1400,44.37,10,1,2,0.02,0.0316928571428571,0.357142857142857,1
1,832,74.83,6,10,3,0.0180288461538462,0.0899399038461538,0.4,0
4,1161,58.48,4,0,1,0.0103359173126615,0.0503703703703704,0.333333333333333,0
6,156,95.6,8,3,0,0.115384615384615,0.612820512820513,0.444444444444444,0
2,1737,62.35,4,0,4,0.00805987334484744,0.035895221646517,0.285714285714286,0
2,542,75.82,5,9,1,0.003690036900369,0.139889298892989,2.5,0
1,775,54.85,0,6,3,0.00129032258064516,0.0707741935483871,0,0
4,1148,88.89,11,2,0,0.00871080139372822,0.0774303135888502,1.1,0
2,328,2.51,9,9,4,0.0762195121951219,0.00765243902439024,0.36,0
2,911,92.23,1,3,4,0.0197585071350165,0.101240395170143,0.0555555555555556,0
3,399,91.32,2,5,5,0.0676691729323308,0.228872180451128,0.0740740740740741,0
6,100,52.55,7,0,1,0.29,0.5255,0.241379310344828,0
5,1068,41.13,6,1,3,0.00842696629213483,0.0385112359550562,0.666666666666667,0
3,1054,89.39,5,6,3,0.0189753320683112,0.0848102466793169,0.25,0
5,1725,22.09,6,0,3,0.0115942028985507,0.0128057971014493,0.3,0
4,642,50.35,8,4,2,0.0264797507788162,0.0784267912772586,0.470588235294118,0
5,900,24.74,2,2,2,0.0177777777777778,0.0274888888888889,0.125,0
5,335,53.72,8,1,0,0.0865671641791045,0.160358208955224,0.275862068965517,0
4,499,63.38,0,4,1,0.00601202404809619,0.127014028056112,0,0
2,1197,75.33,5,1,0,0.0150375939849624,0.0629323308270677,0.277777777777778,0
2,820,79.73,7,4,1,0.0280487804878049,0.0972317073170732,0.304347826086957,0
1,1730,44.92,7,8,3,0.0092485549132948,0.0259653179190751,0.4375,0
6,1577,80.95,7,4,2,0.00380469245402663,0.0513316423589093,1.16666666666667,0
4,1176,42.45,6,6,0,0.00850340136054422,0.0360969387755102,0.6,0
6,785,16.21,4,1,3,0.00636942675159236,0.0206496815286624,0.8,0
3,1389,98.2,1,4,1,0.0151187904967603,0.0706983441324694,0.0476190476190476,0
2,1142,89.43,6,1,2,0.00350262697022767,0.0783099824868652,1.5,0
4,1363,27.27,10,7,1,0.00146735143066764,0.0200073367571533,5,0
4,863,36.16,11,4,0,0.00347624565469293,0.0419003476245655,3.66666666666667,0
1,421,6.8,9,9,2,0.0665083135391924,0.0161520190023753,0.321428571428571,1
5,191,95.34,3,10,3,0.120418848167539,0.499162303664921,0.130434782608696,0
5,1553,61.11,0,9,3,0.0128783000643915,0.0393496458467482,0,0
3,1771,33.98,11,5,0,0.0107284020327499,0.0191869000564653,0.578947368421053,0
4,1349,54.05,11,10,0,0.00815418828762046,0.0400667160859896,1,0
4,1146,7.05,1,6,3,0.00785340314136126,0.00615183246073298,0.111111111111111,0
1,357,54.28,6,10,4,0.0448179271708683,0.152044817927171,0.375,0
1,1820,3.41,10,10,1,0.0148351648351648,0.00187362637362637,0.37037037037037,1
4,1669,9.51,11,0,5,0.0131815458358298,0.00569802276812463,0.5,0
6,871,99.46,4,10,3,0.0275545350172216,0.114190585533869,0.166666666666667,0
4,1412,36.76,9,6,0,0.0028328611898017,0.0260339943342776,2.25,0
3,1444,17.76,5,7,5,0.018005540166205,0.0122991689750693,0.192307692307692,0
4,800,94.66,7,10,1,0.01375,0.118325,0.636363636363636,0
4,810,80.02,4,5,4,0.0308641975308642,0.0987901234567901,0.16,0
5,1601,83.72,9,7,5,0.00124921923797626,0.0522923173016864,4.5,0
1,1753,14.41,5,1,1,0.0062749572162008,0.00822019395322305,0.454545454545455,0
5,126,4.4,2,4,3,0.0952380952380952,0.0349206349206349,0.166666666666667,0
1,1509,77.05,9,5,0,0.00596421471172962,0.0510603048376408,1,0
1,1805,78.97,11,5,1,0.00110803324099723,0.0437506925207756,5.5,0
3,1524,35.09,1,8,0,0.00328083989501312,0.0230249343832021,0.2,0
2,759,66.07,10,9,0,0.0237154150197628,0.0870487483530962,0.555555555555556,0
2,932,34.86,1,8,4,0.00429184549356223,0.0374034334763948,0.25,0
4,1342,0.74,8,1,5,0.0134128166915052,0.000551415797317437,0.444444444444444,0
4,112,93.89,2,0,4,0.214285714285714,0.838303571428571,0.0833333333333333,0
3,56,40.87,2,1,4,0.0892857142857143,0.729821428571429,0.4,0
6,595,36.09,1,9,2,0.0252100840336134,0.060655462184874,0.0666666666666667,0
1,424,97.86,8,8,2,0.0707547169811321,0.230801886792453,0.266666666666667,1
2,850,94.74,10,1,5,0.00588235294117647,0.111458823529412,2,0
1,1314,32.61,3,10,5,0.0175038051750381,0.0248173515981735,0.130434782608696,1
2,335,24.87,2,2,2,0.017910447761194,0.0742388059701493,0.333333333333333,0
6,643,35.93,11,10,5,0.0264385692068429,0.0558786936236392,0.647058823529412,0
5,1525,6.52,0,7,3,0.0019672131147541,0.00427540983606557,0,0
4,1383,67.25,5,0,5,0.0137382501807664,0.0486261749819234,0.263157894736842,0
3,1483,86.76,0,5,2,0.0101146325016858,0.0585030343897505,0,0
